Datum;Eröffnungspreis;Tageshoch;Tagestief;Schlusspreis;Diff.%;
"02.01.2019";"2746,17";"2772,55";"2721,51";"2770,85";"+0,91 %";
"03.01.2019";"2769,77";"2800,04";"2741,61";"2771,45";"+0,02 %";
"04.01.2019";"2771,73";"2862,24";"2771,73";"2858,49";"+3,14 %";
"07.01.2019";"2857,40";"2893,19";"2857,40";"2893,19";"+1,21 %";
"08.01.2019";"2893,84";"2920,42";"2871,79";"2895,04";"+0,06 %";
"09.01.2019";"2895,04";"2955,70";"2891,53";"2930,63";"+1,23 %";
"10.01.2019";"2930,85";"2935,62";"2899,94";"2922,10";"-0,29 %";
"11.01.2019";"2922,73";"2944,02";"2899,91";"2903,83";"-0,63 %";
"14.01.2019";"2903,83";"2907,47";"2857,90";"2878,61";"-0,87 %";
"15.01.2019";"2878,37";"2908,33";"2867,28";"2892,98";"+0,50 %";
"16.01.2019";"2893,52";"2932,72";"2893,52";"2928,88";"+1,24 %";
"17.01.2019";"2929,37";"2931,65";"2893,76";"2916,92";"-0,41 %";
"18.01.2019";"2916,92";"2993,72";"2916,92";"2987,48";"+2,42 %";
"21.01.2019";"2987,55";"2998,36";"2957,20";"2961,22";"-0,88 %";
"22.01.2019";"2960,39";"2966,66";"2936,77";"2947,70";"-0,46 %";
"23.01.2019";"2951,00";"2958,89";"2929,65";"2935,88";"-0,40 %";
"24.01.2019";"2936,18";"2969,11";"2927,23";"2939,99";"+0,14 %";
"25.01.2019";"2944,05";"3003,71";"2944,05";"2997,81";"+1,97 %";
"28.01.2019";"2998,24";"3009,93";"2953,25";"2965,76";"-1,07 %";
"29.01.2019";"2965,76";"2987,22";"2959,12";"2967,35";"+0,05 %";
"30.01.2019";"2966,99";"3000,38";"2958,68";"3000,38";"+1,11 %";
"31.01.2019";"3000,38";"3026,60";"2984,80";"2985,45";"-0,50 %";
"01.02.2019";"2987,64";"3017,02";"2982,86";"2991,05";"+0,19 %";
"04.02.2019";"2991,55";"3014,70";"2983,21";"2995,10";"+0,14 %";
"05.02.2019";"2995,28";"3034,97";"2995,28";"3017,08";"+0,73 %";
"06.02.2019";"3017,24";"3050,49";"3007,16";"3042,84";"+0,85 %";
"07.02.2019";"3041,44";"3050,88";"2995,39";"3001,71";"-1,35 %";
"08.02.2019";"3001,79";"3006,55";"2957,30";"2963,97";"-1,26 %";
"11.02.2019";"2964,99";"3001,11";"2964,99";"2988,17";"+0,82 %";
"12.02.2019";"2988,17";"3023,39";"2988,17";"3014,48";"+0,88 %";
"13.02.2019";"3015,03";"3028,72";"2994,82";"2995,27";"-0,64 %";
"14.02.2019";"2994,90";"3007,80";"2960,07";"2961,39";"-1,13 %";
"15.02.2019";"2957,95";"3031,07";"2956,81";"3023,76";"+2,11 %";
"18.02.2019";"3023,67";"3039,33";"3015,45";"3023,92";"+0,01 %";
"19.02.2019";"3024,54";"3026,70";"3005,94";"3021,76";"-0,07 %";
"20.02.2019";"3023,19";"3066,52";"3022,31";"3061,64";"+1,32 %";
"21.02.2019";"3061,98";"3076,55";"3020,73";"3028,22";"-1,09 %";
"22.02.2019";"3027,90";"3052,90";"3020,06";"3028,66";"+0,01 %";
"25.02.2019";"3028,66";"3050,87";"3016,25";"3020,16";"-0,28 %";
"26.02.2019";"3020,16";"3027,41";"3003,98";"3019,47";"-0,02 %";
"27.02.2019";"3018,92";"3027,35";"3001,66";"3027,35";"+0,26 %";
"28.02.2019";"3027,09";"3047,99";"2998,08";"3040,92";"+0,45 %";
"01.03.2019";"3040,67";"3074,87";"3040,11";"3061,70";"+0,68 %";
"04.03.2019";"3063,79";"3084,80";"3062,66";"3067,68";"+0,20 %";
"05.03.2019";"3067,77";"3075,78";"3027,15";"3046,07";"-0,70 %";
"06.03.2019";"3046,21";"3047,91";"3007,37";"3012,77";"-1,09 %";
"07.03.2019";"3012,71";"3021,75";"2964,60";"2974,51";"-1,27 %";
"08.03.2019";"2974,83";"2974,83";"2924,14";"2937,57";"-1,24 %";
"11.03.2019";"2936,97";"2954,13";"2936,79";"2947,70";"+0,34 %";
"12.03.2019";"2947,16";"2979,33";"2946,40";"2949,50";"+0,06 %";
"13.03.2019";"2952,22";"2994,51";"2949,82";"2990,35";"+1,38 %";
"14.03.2019";"2992,65";"3042,37";"2992,42";"3042,06";"+1,73 %";
"15.03.2019";"3041,68";"3058,06";"3015,50";"3041,67";"-0,01 %";
"18.03.2019";"3042,13";"3071,69";"3042,13";"3070,74";"+0,96 %";
"19.03.2019";"3070,95";"3102,21";"3066,71";"3077,38";"+0,22 %";
"20.03.2019";"3077,73";"3078,84";"3045,73";"3065,52";"-0,39 %";
"21.03.2019";"3065,17";"3085,48";"3048,63";"3080,52";"+0,49 %";
"22.03.2019";"3079,84";"3101,39";"3036,32";"3040,41";"-1,30 %";
"25.03.2019";"3039,70";"3045,28";"3009,50";"3015,14";"-0,83 %";
